Anexo B - Registro consolidado de defectos de la inspeccion Fagan;;;;;;;,
Documento inspeccionado;ERS_v1.0.pdf (identico a ERS_SRS_2A_v1.0.pdf);Paginas efectivas;147;Fecha de la reunion;2026-08-09;Moderador;Morales Sanchez Gary Alejandro,
Minimo exigido por la guia;15 defectos unicos con al menos 3 criticos o mayores;Consolidado obtenido;18 defectos unicos;Criticos;2;Mayores;12,
Nota;La columna Correccion se completa en la fase de correccion posterior. La inspeccion detecta, no corrige.;;;;;;
;;;;;;;,
N.o;Seccion del ERS;Descripcion del defecto;Tipo;Severidad;Requisito afectado;Detectado por;Correccion,
"D-01;1.2 Alcance del producto (linea 392);El MVP se define como cobertura de ""al menos el 60 % de los RF de prioridad Debe tener"" sin enumerar cuales de los 15 RF Must lo integran. El alcance admite multiples subconjuntos validos. Ademas usa ""Debe tener"" donde el resto del documento usa ""Must"".;Ambiguedad;Menor;Alcance del MVP;Morales;",
"D-02;1.2 Alcance del producto (lineas 388 y 390);""Sugerencias inteligentes para completar perfiles"" y ""Recomendaciones basicas de cuidado"" figuran como alcance incluido pero ningun RF del catalogo RF-01 a RF-25 las especifica.;Completitud;Mayor;RF-01 a RF-25 (ausentes);Morales;",
D-03;1.2 Alcance vs 3.2 RF-07 (lineas 374 y 1344);El alcance declara comunicacion entre propietarios adoptantes interesados en cruza refugios y veterinarias. RF-07 lista como actores solo Propietario Adoptante e Interesado en cruza. Refugio y Veterinaria quedan fuera del requisito.;Consistencia;Mayor;RF-07;Morales;,
"D-04;2.6 Suposiciones y dependencias (linea 830);La suposicion ""el volumen inicial de usuarios permitira operar con una infraestructura basica de hosting"" no define volumen ni que significa basica. No puede comprobarse y tensiona con RNF-12 que exige 300 usuarios concurrentes.;Verificabilidad;Menor;RNF-12;Morales;",
"D-05;2.4.2 Conflictos entre stakeholders (linea 791);La estrategia de gestion declara ""mecanismos basicos para reportar interacciones inadecuadas"" pero no existe ningun RF de reporte o denuncia de usuarios. Estrategia sin requisito destino.;Trazabilidad;Mayor;RF ausente (reporte de usuarios);Morales;",
"D-06;2.6 Dependencias vs 3.3 RNF-09 y 3.5 RD-08 (lineas 837 y 1778);La dependencia externa se enuncia en condicional (""podria requerirse la integracion con un servicio externo de notificaciones"") mientras RNF-09 compromete en firme WhatsApp Business API y RD-08 lo eleva a restriccion de diseno. Es un servicio de pago sin suposicion de costo ni presupuesto que lo sostenga.;Factibilidad;Mayor;RNF-09 y RD-08;Morales;",
"D-07;3.2 RF-23 (linea 1599);La alerta se dispara ante ""una disparidad de tamano significativa"" sin umbral cuantificado. El criterio de verificacion repite el mismo termino y propaga la ambiguedad a la prueba. Requisito Must ligado a seguridad fisica del animal.;Ambiguedad;Mayor;RF-23;Sanchez;",
D-08;3.2 RF-01 vs RF-04 y RF-06 (lineas 1250 1295 1327);RF-04 filtra por temperamento y RF-06 evalua comportamiento pero RF-01 no incluye ninguno de los dos entre las entradas del registro. Se consume un dato que ningun RF captura.;Completitud;Mayor;RF-01 RF-04 RF-06;Sanchez;,
D-09;3.2 RF-25 vs 3.3 RNF-16 (lineas 1631 1635);RF-25 publica un aviso visible publicamente que incluye datos de contacto. RNF-16 exige el 100 % de los perfiles con ubicacion y contacto ocultos por defecto y tiene prioridad Must frente al Could de RF-25. Ademas RF-25 no consta en la tabla legal RL-05 sobre minimizacion (LOPDP Art. 10 lit. e).;Consistencia;Critico;RF-25 y RNF-16;Sanchez;,
"D-10;3.2 RF-01 (linea 1255);El criterio de verificacion ""registrar una mascota con datos validos"" no define campos obligatorios ni reglas de validez por lo que la prueba no es decidible. El propio ERS reconoce el hueco en la estrategia del conflicto de la linea 779.;Verificabilidad;Menor;RF-01;Sanchez;",
"D-11;3.2 RF-06 (linea 1329);El origen se declara como rango ""EV-01 a EV-08"" donde los otros 24 RF enumeran evidencia por evidencia. Impide comprobar que cada EV sustenta el requisito y no coincide con la fila TR-06 de la matriz que solo cita EV-04 EV-05 EV-06 y EV-08.;Trazabilidad;Mayor;RF-06;Sanchez;",
D-12;3.2 CU-08 y RF-07 (lineas 2853 1213 1350);El alcance y CU-08 comprometen un clasificador de lenguaje ofensivo en espanol. No hay RNF de exactitud para moderacion (RNF-06 cubre cruza y RNF-07 imagenes) ni suposicion sobre datos de entrenamiento y todo depende de RF-07 cuya prioridad es Could.;Factibilidad;Mayor;RF-07 y CU-08;Sanchez;,
"D-13;3.3 RNF-12 (linea 1817);La descripcion normativa usa ""sin degradar significativamente el tiempo de respuesta definido en RNF-03"". El valor objetivo si esta cuantificado pero la clausula que se contrata contiene un termino de grado indefinido.;Ambiguedad;Menor;RNF-12;Cedeno;",
D-14;3.3 RNF-15 (linea 1856);RNF-15 exige explicabilidad cuando un mensaje es marcado por el componente de moderacion automatica pero ningun RF especifica esa moderacion. La funcion solo existe en la tabla de interfaces de software y en CU-08. RNF sin requisito funcional padre.;Completitud;Mayor;RNF-15;Cedeno;,
D-15;Apendice B.3 fila EV-04 (lineas 6265 y 6281);La fila EV-04 declara al participante como VET-02 y en la misma fila nombra el archivo 2026-05-17_Veterinario_VET-04_TranscripcionEntrevista.txt. Contradiccion interna en una sola fila. Agravante: el documento se entrega con una nota de consistencia pendiente de verificacion sin resolver.;Consistencia;Critico;EV-04 y trazabilidad de evidencias;Cedeno;,
D-16;3.3 RNF-02 (linea 1691);El criterio de verificacion exige monitorear la disponibilidad durante un mes de operacion. El sistema no esta en produccion y el PFC no contempla un mes de operacion real ni se declara entorno o suposicion que lo permita. Requisito inverificable en la practica.;Verificabilidad;Mayor;RNF-02;Cedeno;,
